hour;fbus;tbus;flow
24;5;13;-185.814
24;5;16;769.919
24;6;14;43.255
24;7;10;-151.132
24;7;12;-177.681
24;7;15;-163.368
24;7;17;-5.92
24;1;10;175.665
24;8;18;368.694
24;9;17;501.002
24;9;18;225.846
24;10;15;-207.546
24;10;16;-107.709
24;10;17;-20.065
24;11;13;-1509.359
24;11;14;1204.032
24;13;19;1363.149
24;15;16;-1319.39
24;1;14;-498.588
24;2;8;944.975
24;2;9;612.034
24;3;6;-395.706
24;3;8;-445.561
24;3;18;-22.529
24;4;9;-1103.447
