hour;bus;E_i;E_s
23;16;560.942;560.942
23;17;1184.211;623.269
23;18;560.942;0.0
23;19;506.867;0.0
24;1;623.269;0.0
24;2;0.0;0.0
24;3;0.0;0.0
24;4;0.0;0.0
24;5;623.269;0.0
24;6;623.269;0.0
24;7;405.667;0.0
24;8;560.942;0.0
24;9;560.942;0.0
24;10;0.0;0.0
24;11;115.972;0.0
24;12;540.017;0.0
24;13;238.657;0.0
24;14;426.345;0.0
24;15;623.269;0.0
24;16;560.942;0.0
24;17;623.269;0.0
24;18;0.0;0.0
24;19;0.0;0.0
