hour;bus;powerGen
11;6;0.0
11;7;315.0
11;8;0.0
11;9;0.0
11;10;120.0
11;11;0.0
11;12;1500.0
11;13;4350.400855849448
11;14;1100.0
11;15;0.0
11;16;0.0
11;18;0.0
11;19;1060.0
12;1;832.7999999999996
12;2;0.0
12;3;0.0
12;4;200.0
12;5;0.0
12;6;0.0
12;7;0.0
12;8;0.0
12;9;0.0
12;10;115.36498913879718
12;11;0.0
12;12;600.0
12;13;2740.0
12;14;1100.0
12;15;0.0
12;16;0.0
12;18;0.0
12;19;0.0
13;1;832.7999999999996
13;2;0.0
13;3;0.0
13;4;500.0
13;5;0.0
13;6;0.0
13;7;315.0
13;8;0.0
13;9;0.0
13;10;120.0
13;11;0.0
13;12;1500.0
13;13;4322.507419518173
13;14;1100.0
13;15;70.0
13;16;0.0
13;18;0.0
13;19;1060.0
14;1;832.7999999999996
14;2;0.0
14;3;0.0
14;4;500.0
14;5;0.0
14;6;0.0
14;7;450.0
14;8;0.0
14;9;0.0
14;10;120.0
14;11;0.0
14;12;1476.5460446189927
14;13;4056.5717105730578
14;14;1100.0
14;15;0.0
14;16;0.0
14;18;0.0
14;19;1060.0
15;1;832.7999999999996
15;2;0.0
15;3;0.0
15;4;500.0
15;5;0.0
15;6;0.0
15;7;450.0
15;8;0.0
15;9;0.0
15;10;120.0
15;11;0.0
15;12;1321.9006771222316
15;13;3986.5285994193355
15;14;1100.0
15;15;0.0
15;16;0.0
15;18;0.0
15;19;1060.0
16;1;832.7999999999996
16;2;0.0
16;3;0.0
16;4;446.8927501062808
16;5;0.0
16;6;0.0
16;7;315.0
16;8;0.0
16;9;0.0
16;10;120.0
16;11;0.0
16;12;823.0855077345246
16;13;3413.2332130407576
16;14;1100.0
16;15;0.0
16;16;0.0
16;18;0.0
16;19;1060.0
17;1;832.7999999999996
17;2;0.0
17;3;0.0
17;4;221.44465244529812
17;5;0.0
17;6;0.0
17;7;0.0
17;8;0.0
17;9;0.0
17;10;120.0
17;11;0.0
17;12;623.5758605030215
17;13;3661.8627327089866
17;14;1100.0
17;15;0.0
17;16;0.0
17;18;0.0
17;19;0.0
18;1;832.7999999999996
18;2;0.0
18;3;0.0
18;4;0.0
18;5;0.0
18;6;0.0
18;7;0.0
18;8;0.0
18;9;0.0
18;10;94.43917867400486
18;11;0.0
18;12;0.0
18;13;2981.7661284705837
18;14;1100.0
18;15;0.0
18;16;0.0
18;18;0.0
18;19;0.0
19;1;832.7999999999996
19;2;0.0
19;3;0.0
19;4;0.0
19;5;0.0
19;6;0.0
19;7;0.0
19;8;0.0
19;9;0.0
19;10;120.0
19;11;0.0
19;12;0.0
19;13;4372.110819341434
19;14;1100.0
19;15;0.0
19;16;0.0
19;18;0.0
19;19;0.0
20;1;1330.0
20;2;1360.0
20;3;40.0
20;4;200.0
20;5;0.0
20;6;1400.0
20;7;227.234791750553
20;8;0.0
20;9;1500.0
20;10;48.0
20;11;0.0
20;12;600.0
20;13;4600.0
20;14;1100.0
20;15;0.0
20;16;0.0
20;18;40.0
20;19;0.0
21;1;1330.0
21;2;1831.1380478921808
21;3;100.0
21;4;500.0
21;5;0.0
21;6;3033.9303726018047
21;7;450.0
21;8;0.0
21;9;2000.0
21;10;120.0
21;11;0.0
21;12;1500.0
21;13;4600.0
21;14;1100.0
21;15;70.0
21;16;2100.0
21;18;100.0
21;19;0.0
22;1;1330.0
22;2;3320.6400944839343
22;3;100.0
22;4;500.0
22;5;0.0
22;6;3017.4838705097372
22;7;450.0
22;8;0.0
22;9;2000.0
22;10;120.0
22;11;0.0
22;12;1500.0
22;13;4048.960244958329
22;14;1100.0
22;15;100.0
22;16;3000.0
22;18;100.0
22;19;1060.0
23;1;1330.0
23;2;3400.0
23;3;100.0
23;4;500.0
23;5;0.0
23;6;2754.429942856724
23;7;450.0
23;8;1501.3458942830891
23;9;2000.0
23;10;120.0
23;11;0.0
23;12;1500.0
23;13;4320.8246757553725
23;14;1100.0
23;15;100.0
23;16;3000.0
23;18;100.0
23;19;1060.0
24;1;1330.0
24;2;3400.0
24;3;100.0
24;4;500.0
24;5;580.0
24;6;2903.961063170262
24;7;450.0
24;8;1321.1491467249252
24;9;2000.0
24;10;120.0
24;11;0.0
24;12;1500.0
24;13;4414.931895658816
24;14;1100.0
24;15;100.0
24;16;3000.0
24;18;100.0
24;19;1060.0
